"filename", "language", "JavaScript", "JavaScript JSX", "Markdown", "YAML", "Shell Script", "JSON", "Docker", "JSON with Comments", "TypeScript", "PostCSS", "comment", "blank", "total"
"/Users/ninorameau/code/projet-cms/src/components/ui/HtmlLangSync.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/ninorameau/code/projet-cms/src/components/ui/ThemeInit.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
"/Users/ninorameau/code/projet-cms/src/components/ui/ThemeToggle.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/ninorameau/code/projet-cms/src/components/view/BlockRenderer.jsx", "JavaScript JSX", 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 277
"/Users/ninorameau/code/projet-cms/src/lib/auth.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"/Users/ninorameau/code/projet-cms/src/lib/hooks/useRealtimeSync.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 33
"/Users/ninorameau/code/projet-cms/src/lib/prisma.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22
"/Users/ninorameau/code/projet-cms/src/proxy.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"/Users/ninorameau/code/projet-cms/src/store/useEditorStore.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 87
"/Users/ninorameau/code/projet-cms/tailwind.config.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 36
"Total", "-", 965, 4228, 134, 61, 10, 4200, 28, 7, 11, 26, 77, 711, 10458
